time          Rx_Lev_A_0    
----------------------------
1318.31        -88.61        
1324.09        -88.61        
1324.74        -88.62        
1325.52        -88.61        
1326.37        -88.62        
1327.11        -88.63        
1327.75        -88.62        
1328.38        -88.62        
1328.91        -88.62        
1329.54        -88.61        
1330.39        -88.61        
1330.95        -88.62        
1331.53        -88.63        
1332.32        -88.66        
1333.16        -88.65        
1333.77        -88.65        
1334.54        -88.66        
1335.35        -88.65        
1335.96        -88.65        
1336.56        -88.65        
1337.33        -88.63        
1338.00        -88.62        
1338.54        -88.63        
1339.36        -88.61        
1339.96        -88.60        
1340.57        -88.64        
1341.33        -88.63        
1341.93        -88.63        
1342.61        -88.62        
1343.35        -88.62        
1343.94        -88.63        
1344.61        -88.62        
1345.46        -88.63        
1345.94        -88.62        
1346.55        -88.63        
1347.37        -89.53        
1347.98        -91.27        
1348.57        -91.31        
1349.36        -91.29        
1350.00        -91.31        
1350.75        -91.30        
1351.35        -91.30        
1351.96        -91.29        
1352.63        -91.27        
1353.42        -91.27        
1353.99        -91.26        
1354.58        -91.25        
1355.38        -91.25        
1355.97        -91.26        
1356.58        -91.29        
1357.37        -91.28        
1357.96        -91.28        
1358.61        -91.26        
1359.43        -91.26        
1360.02        -91.25        
1360.58        -91.25        
1361.43        -91.25        
1362.04        -91.26        
1362.62        -91.25        
1363.43        -91.23        
1364.04        -91.25        
1364.58        -91.27        
1365.42        -91.27        
1366.03        -91.25        
1366.61        -91.26        
1367.40        -91.27        
1368.03        -91.27        
1368.81        -91.27        
1369.60        -91.27        
1370.39        -91.28        
1371.00        -91.28        
1371.62        -91.28        
1372.44        -91.27        
1373.04        -91.27        
1373.71        -91.26        
1374.46        -91.27        
1375.01        -91.26        
1375.61        -91.27        
1376.38        -91.28        
1377.01        -91.25        
1377.64        -91.25        
1378.42        -91.26        
1379.00        -91.27        
1379.63        -91.29        
1380.42        -91.27        
1381.04        -91.29        
1381.90        -91.26        
1382.65        -91.28        
1383.44        -91.27        
1384.05        -91.28        
1384.87        -91.30        
1385.61        -91.28        
1386.47        -91.28        
1387.01        -91.28        
1387.66        -91.28        
1388.26        -91.28        
1388.86        -91.27        
1389.70        -91.28        
1390.43        -91.29        
1391.04        -91.27        
1391.62        -91.27        
1392.45        -91.29        
1393.06        -91.27        
1393.66        -91.28        
1394.25        -91.25        
1394.87        -91.27        
1395.66        -91.26        
1396.24        -91.28        
1397.10        -91.31        
1398.04        -91.30        
1398.64        -91.29        
1399.23        -91.31        
1399.87        -91.28        
1400.65        -91.29        
1401.27        -91.28        
1401.89        -91.29        
1402.66        -91.26        
1403.29        -91.25        
1403.90        -91.25        
1404.73        -91.27        
1405.31        -91.25        
1405.88        -91.27        
1406.73        -91.25        
1407.29        -94.33        
1407.89        -94.24        
1408.72        -94.25        
1409.27        -94.23        
1409.87        -94.21        
1410.67        -94.23        
1411.27        -94.23        
1411.91        -94.22        
1412.72        -94.27        
1413.30        -94.27        
